Date;Public Equity;PE/VC;Hedge Funds;Real Assets & ILBs;Fixed Income;Private Credit;Cash;High Yield
31.01.2024;1.68%;3.50%;1.41%;-4.27%;-1.38%;1.75%;0.44%;0.00%
29.02.2024;5.34%;8.85%;2.06%;1.98%;-1.26%;0.49%;0.44%;0.29%
29.03.2024;3.22%;5.25%;1.74%;1.55%;0.55%;2.15%;0.44%;1.18%
30.04.2024;-4.08%;-7.56%;0.16%;-5.92%;-2.52%;0.51%;0.44%;-0.94%
31.05.2024;4.96%;6.10%;0.70%;4.71%;1.31%;3.07%;0.44%;1.10%
28.06.2024;3.59%;5.50%;0.62%;2.26%;0.14%;0.23%;0.44%;0.94%
31.07.2024;1.22%;1.23%;0.47%;6.15%;2.76%;1.33%;0.43%;1.94%
30.08.2024;2.43%;2.98%;-0.23%;6.74%;2.37%;-1.45%;0.42%;1.63%
30.09.2024;2.14%;2.97%;1.77%;2.01%;1.70%;0.66%;0.38%;1.62%
31.10.2024;-0.92%;0.11%;0.00%;-1.07%;-3.32%;-0.29%;0.37%;-0.39%
